train_loss_step,train_main_loss_step,train_recon_loss_step,step,epoch,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,,,107,,5147.59033203125,382547392.0,765084480.0,,,,,,
,,,108,,5147.63818359375,385838688.0,771667072.0,,,,,,
,,,109,,5147.60595703125,459930048.0,919849792.0,,,,,,
,,,110,,5147.6279296875,493791552.0,987572800.0,,,,,,
,,,111,,5147.6005859375,399324928.0,798639552.0,,,,,,
,,,112,,5147.66357421875,461544928.0,923079552.0,,,,,,
,,,113,,5147.65478515625,362249536.0,724488768.0,,,,,,
,,,114,,5147.689453125,368141792.0,736273280.0,,,,,,
,,,115,,5147.6171875,475769888.0,951529472.0,,,,,,
,,,116,,5147.6513671875,379500576.0,758990848.0,,,,,,
,,,117,,5147.66650390625,372777024.0,745543744.0,,,,,,
,,,118,,5147.666015625,419774304.0,839538304.0,,,,,,
,,,119,,5147.65673828125,394097280.0,788184256.0,,,,,,
,,,479,5,,,,408047264.0,816084224.0,5147.64453125,,,
,,,479,5,,,,,,,4377.77685546875,411323328.0,822638400.0
407498816.0,814988928.0,4350.6708984375,499,6,,,,,,,,,
421675072.0,843341504.0,4322.5791015625,549,6,,,,,,,,,
,,,120,,5085.1298828125,407430432.0,814850688.0,,,,,,
,,,121,,5085.10498046875,369784352.0,739558528.0,,,,,,
,,,122,,5085.123046875,376994976.0,753979776.0,,,,,,
,,,123,,5085.140625,344642112.0,689274048.0,,,,,,
,,,124,,5085.1640625,414992768.0,829975360.0,,,,,,
,,,125,,5085.1767578125,452393344.0,904776512.0,,,,,,
,,,126,,5085.14794921875,424825440.0,849640704.0,,,,,,
,,,127,,5085.0791015625,380509856.0,761009536.0,,,,,,
,,,128,,5085.134765625,383831648.0,767653120.0,,,,,,
,,,129,,5085.10009765625,457674912.0,915339648.0,,,,,,
,,,130,,5085.11962890625,491419616.0,982829056.0,,,,,,
,,,131,,5085.09619140625,397257216.0,794504256.0,,,,,,
,,,132,,5085.158203125,459289568.0,918568960.0,,,,,,
,,,133,,5085.15185546875,360345536.0,720680896.0,,,,,,
,,,134,,5085.17822265625,366127040.0,732243904.0,,,,,,
,,,135,,5085.10595703125,473437120.0,946864064.0,,,,,,
,,,136,,5085.14501953125,377482976.0,754955776.0,,,,,,
,,,137,,5085.16162109375,370738880.0,741467584.0,,,,,,
,,,138,,5085.1552734375,417608960.0,835207744.0,,,,,,
,,,139,,5085.15283203125,392056896.0,784103616.0,,,,,,
,,,559,6,,,,405942240.0,811874240.0,5085.13671875,,,
,,,559,6,,,,,,,4339.79248046875,409556288.0,819104128.0
394826144.0,789643776.0,4255.98828125,599,7,,,,,,,,,
,,,140,,4912.97900390625,405197728.0,810385600.0,,,,,,
,,,141,,4912.95703125,367739456.0,735469056.0,,,,,,
,,,142,,4912.97412109375,374928928.0,749848000.0,,,,,,
,,,143,,4912.99072265625,342599296.0,685188736.0,,,,,,
,,,144,,4913.01513671875,412773760.0,825537664.0,,,,,,
,,,145,,4913.029296875,449971744.0,899933632.0,,,,,,
,,,146,,4913.0009765625,422541856.0,845073856.0,,,,,,
,,,147,,4912.93701171875,378372320.0,756734784.0,,,,,,
,,,148,,4912.9921875,381726240.0,763442624.0,,,,,,
,,,149,,4912.953125,455308384.0,910606912.0,,,,,,
,,,150,,4912.9716796875,488930016.0,977850176.0,,,,,,
,,,151,,4912.95068359375,395087968.0,790166080.0,,,,,,
,,,152,,4913.00732421875,456922688.0,913835520.0,,,,,,
,,,153,,4912.99609375,358348576.0,716687296.0,,,,,,
,,,154,,4913.021484375,364013568.0,728017280.0,,,,,,
,,,155,,4912.95703125,470988704.0,941967552.0,,,,,,
,,,156,,4912.998046875,375366464.0,750723072.0,,,,,,
,,,157,,4913.00390625,368600800.0,737191744.0,,,,,,
,,,158,,4913.009765625,415336864.0,830663872.0,,,,,,
,,,159,,4913.0,389916416.0,779822976.0,,,,,,
,,,639,7,,,,403733600.0,807457344.0,4912.98681640625,,,
,,,639,7,,,,,,,4251.3662109375,407613152.0,815218176.0
412456928.0,824905536.0,4157.41796875,649,8,,,,,,,,,
457145920.0,914283904.0,3976.3193359375,699,8,,,,,,,,,
,,,160,,4573.583984375,402404064.0,804798976.0,,,,,,
,,,161,,4573.5634765625,365181728.0,730354304.0,,,,,,
,,,162,,4573.583984375,372344608.0,744680064.0,,,,,,
,,,163,,4573.60302734375,340044224.0,680079296.0,,,,,,
,,,164,,4573.615234375,409997248.0,819985344.0,,,,,,
,,,165,,4573.625,446940896.0,893872640.0,,,,,,
,,,166,,4573.59619140625,419684288.0,839359424.0,,,,,,
,,,167,,4573.544921875,375698208.0,751387264.0,,,,,,
,,,168,,4573.60693359375,379092448.0,758175744.0,,,,,,
,,,169,,4573.55810546875,452346528.0,904683904.0,,,,,,
,,,170,,4573.58154296875,485813632.0,971618112.0,,,,,,
,,,171,,4573.56201171875,392374016.0,784738880.0,,,,,,
,,,172,,4573.6005859375,453960576.0,907912000.0,,,,,,
,,,173,,4573.60791015625,355851136.0,711693120.0,,,,,,
,,,174,,4573.61767578125,361369664.0,722730176.0,,,,,,
,,,175,,4573.56787109375,467924000.0,935838848.0,,,,,,
,,,176,,4573.59912109375,372718688.0,745428224.0,,,,,,
,,,177,,4573.60107421875,365926048.0,731842944.0,,,,,,
,,,178,,4573.60888671875,412493728.0,824978304.0,,,,,,
,,,179,,4573.60693359375,387238656.0,774468160.0,,,,,,
,,,719,8,,,,400970176.0,801931264.0,4573.591796875,,,
,,,719,8,,,,,,,4049.508056640625,405240384.0,810472768.0
429569952.0,859132416.0,3754.389404296875,749,9,,,,,,,,,
385327008.0,770646976.0,3519.218994140625,799,9,,,,,,,,,
,,,180,,4131.17041015625,399217280.0,798426304.0,,,,,,
,,,181,,4131.15234375,362265440.0,724522624.0,,,,,,
,,,182,,4131.17724609375,369397888.0,738787520.0,,,,,,
,,,183,,4131.19287109375,337130976.0,674253696.0,,,,,,
,,,184,,4131.19775390625,406830240.0,813652224.0,,,,,,
,,,185,,4131.212890625,443482144.0,886956032.0,,,,,,
,,,186,,4131.18505859375,416424352.0,832840448.0,,,,,,
