train_recon_loss_step,step,epoch,train_main_loss_step,train_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
,194,,,,2638.3056640625,366991488.0,733977728.0,,,,,,
,195,,,,2638.359130859375,448579104.0,897152960.0,,,,,,
,196,,,,2638.30517578125,412590912.0,825176576.0,,,,,,
,197,,,,2638.324462890625,421966304.0,843927360.0,,,,,,
,198,,,,2638.317138671875,392252608.0,784499968.0,,,,,,
,199,,,,2638.3232421875,363684928.0,727364608.0,,,,,,
,799,9,,,,,,809134912.0,2638.318603515625,404570080.0,,,
,799,9,,,,,,,,,2491.730224609375,412294048.0,824583040.0
2377.992431640625,849,10,909699392.0,454852064.0,,,,,,,,,
,200,,,,2532.718994140625,342898400.0,685791744.0,,,,,,
,201,,,,2532.7392578125,431167328.0,862329600.0,,,,,,
,202,,,,2532.751220703125,355812832.0,711620608.0,,,,,,
,203,,,,2532.7177734375,426470560.0,852936064.0,,,,,,
,204,,,,2532.703857421875,419609152.0,839213248.0,,,,,,
,205,,,,2532.724853515625,445846912.0,891688768.0,,,,,,
,206,,,,2532.720703125,483565728.0,967126400.0,,,,,,
,207,,,,2532.740234375,362736640.0,725468224.0,,,,,,
,208,,,,2532.71875,350681280.0,701357504.0,,,,,,
,209,,,,2532.726806640625,412451264.0,824897472.0,,,,,,
,210,,,,2532.71435546875,457213280.0,914421504.0,,,,,,
,211,,,,2532.718017578125,382597024.0,765188992.0,,,,,,
,212,,,,2532.7275390625,430569984.0,861134912.0,,,,,,
,213,,,,2532.722412109375,367157760.0,734310464.0,,,,,,
,214,,,,2532.720458984375,365925280.0,731845504.0,,,,,,
,215,,,,2532.755859375,447297920.0,894590784.0,,,,,,
,216,,,,2532.71728515625,411374464.0,822743872.0,,,,,,
,217,,,,2532.732666015625,420804192.0,841603328.0,,,,,,
,218,,,,2532.728271484375,391092608.0,782180160.0,,,,,,
,219,,,,2532.72900390625,362571424.0,725137792.0,,,,,,
,879,10,,,,,,806779328.0,2532.7265625,403392160.0,,,
,879,10,,,,,,,,,2390.141357421875,411253280.0,822501888.0
2310.31640625,899,11,886290624.0,443147616.0,,,,,,,,,
2240.1064453125,949,11,769156736.0,384580608.0,,,,,,,,,
,220,,,,2407.302001953125,341579136.0,683153472.0,,,,,,
,221,,,,2407.322998046875,429664192.0,859323584.0,,,,,,
,222,,,,2407.333740234375,354492960.0,708981120.0,,,,,,
,223,,,,2407.3037109375,424973184.0,849941568.0,,,,,,
,224,,,,2407.293701171875,418152704.0,836300608.0,,,,,,
,225,,,,2407.30859375,444285824.0,888566848.0,,,,,,
,226,,,,2407.30224609375,481946080.0,963887360.0,,,,,,
,227,,,,2407.32421875,361389856.0,722774912.0,,,,,,
