train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
,,120,,,2284.41845703125,833998784.0,417001664.0,,,,,,
,,121,,,2284.448974609375,923653056.0,461828800.0,,,,,,
,,122,,,2284.42578125,898911040.0,449457792.0,,,,,,
,,123,,,2284.426513671875,779428608.0,389716576.0,,,,,,
,,124,,,2284.46630859375,721280448.0,360642496.0,,,,,,
,,125,,,2284.4169921875,817288576.0,408646560.0,,,,,,
,,126,,,2284.41796875,964408064.0,482206304.0,,,,,,
,,127,,,2284.43603515625,859917504.0,429961024.0,,,,,,
,,128,,,2284.459228515625,819395136.0,409699840.0,,,,,,
,,129,,,2284.444091796875,783022336.0,391513440.0,,,,,,
,,130,,,2284.43896484375,738185408.0,369094976.0,,,,,,
,,131,,,2284.42626953125,877216320.0,438610432.0,,,,,,
,,132,,,2284.458984375,731665152.0,365834848.0,,,,,,
,,133,,,2284.43896484375,665084864.0,332544704.0,,,,,,
,,134,,,2284.442626953125,1007530816.0,503767680.0,,,,,,
,,135,,,2284.439697265625,816326272.0,408165408.0,,,,,,
,,136,,,2284.41845703125,885624000.0,442814272.0,,,,,,
,,137,,,2284.477783203125,830494656.0,415249600.0,,,,,,
,,138,,,2284.411865234375,973238464.0,486621504.0,,,,,,
,,139,,,2284.466064453125,765928000.0,382966272.0,,,,,,
,6,559,,,,,,2284.43896484375,834629952.0,417317184.0,,,
,6,559,,,,,,,,,412182848.0,824361216.0,2158.7607421875
419284768.0,7,599,2022.420654296875,838565504.0,,,,,,,,,
,,140,,,2129.393310546875,831175296.0,415589792.0,,,,,,
,,141,,,2129.422607421875,920625408.0,460314848.0,,,,,,
,,142,,,2129.399658203125,895991296.0,447997792.0,,,,,,
,,143,,,2129.398681640625,776763456.0,388383872.0,,,,,,
,,144,,,2129.439208984375,718705792.0,359355040.0,,,,,,
,,145,,,2129.390625,814538560.0,407271424.0,,,,,,
,,146,,,2129.392578125,961346304.0,480675296.0,,,,,,
,,147,,,2129.406494140625,857022464.0,428513376.0,,,,,,
,,148,,,2129.4287109375,816606400.0,408305344.0,,,,,,
,,149,,,2129.417236328125,780370688.0,390187488.0,,,,,,
,,150,,,2129.41162109375,735559872.0,367782080.0,,,,,,
,,151,,,2129.400146484375,874326592.0,437165440.0,,,,,,
,,152,,,2129.43115234375,729099456.0,364551872.0,,,,,,
,,153,,,2129.413818359375,662643648.0,331323968.0,,,,,,
,,154,,,2129.415771484375,1004339264.0,502171776.0,,,,,,
,,155,,,2129.412109375,813551616.0,406777952.0,,,,,,
,,156,,,2129.391845703125,882793344.0,441398816.0,,,,,,
,,157,,,2129.446533203125,827706752.0,413855520.0,,,,,,
,,158,,,2129.3857421875,970132992.0,485068640.0,,,,,,
,,159,,,2129.4365234375,763285120.0,381644704.0,,,,,,
,7,639,,,,,,2129.411865234375,831829184.0,415916768.0,,,
,7,639,,,,,,,,,410910016.0,821816256.0,2023.7733154296875
372417632.0,8,649,1937.7950439453125,744831360.0,,,,,,,,,
483831360.0,8,699,1846.953857421875,967659008.0,,,,,,,,,
,,160,,,1971.4947509765625,828231104.0,414117536.0,,,,,,
,,161,,,1971.52685546875,917467904.0,458735936.0,,,,,,
,,162,,,1971.50244140625,892946688.0,446475328.0,,,,,,
,,163,,,1971.5032958984375,773984768.0,386994368.0,,,,,,
,,164,,,1971.539306640625,716021440.0,358012704.0,,,,,,
,,165,,,1971.4962158203125,811671360.0,405837664.0,,,,,,
,,166,,,1971.4951171875,958153088.0,479078528.0,,,,,,
,,167,,,1971.512939453125,854003520.0,427003744.0,,,,,,
,,168,,,1971.533447265625,813698432.0,406851200.0,,,,,,
,,169,,,1971.5142822265625,777605952.0,388804960.0,,,,,,
,,170,,,1971.516845703125,732822656.0,366413312.0,,,,,,
,,171,,,1971.5101318359375,871313152.0,435658560.0,,,,,,
,,172,,,1971.5345458984375,726424768.0,363214368.0,,,,,,
,,173,,,1971.5164794921875,660099136.0,330051552.0,,,,,,
